期,城市,指标,数值,房屋类型
2026-03,演示市,环比,-0.7,二手住宅
2026-03,演示市,同比,-4.5,二手住宅
2026-04,演示市,环比,-0.5,二手住宅
2026-04,演示市,同比,-5.6,二手住宅
2026-05,演示市,环比,0.2,二手住宅
2026-05,演示市,同比,-2.7,二手住宅
2026-06,演示市,环比,-0.3,二手住宅
2026-06,演示市,同比,-5.8,二手住宅
2026-07,演示市,环比,0.3,二手住宅
2026-07,演示市,同比,-6.2,二手住宅
2026-08,演示市,环比,-0.7,二手住宅
2026-08,演示市,同比,-3.9,二手住宅
2026-03,对照市甲,环比,0.2,二手住宅
2026-03,对照市甲,同比,-4.4,二手住宅
2026-04,对照市甲,环比,-0.7,二手住宅
2026-04,对照市甲,同比,-5.6,二手住宅
2026-05,对照市甲,环比,-0.6,二手住宅
2026-05,对照市甲,同比,-5.0,二手住宅
2026-06,对照市甲,环比,0.1,二手住宅
2026-06,对照市甲,同比,-5.1,二手住宅
2026-07,对照市甲,环比,0.4,二手住宅
2026-07,对照市甲,同比,-4.7,二手住宅
2026-08,对照市甲,环比,0.0,二手住宅
2026-08,对照市甲,同比,-5.3,二手住宅
2026-03,对照市乙,环比,0.4,二手住宅
2026-03,对照市乙,同比,-4.4,二手住宅
2026-04,对照市乙,环比,-0.1,二手住宅
2026-04,对照市乙,同比,-5.7,二手住宅
2026-05,对照市乙,环比,-0.0,二手住宅
2026-05,对照市乙,同比,-5.2,二手住宅
2026-06,对照市乙,环比,-0.9,二手住宅
2026-06,对照市乙,同比,-5.5,二手住宅
2026-07,对照市乙,环比,-0.6,二手住宅
2026-07,对照市乙,同比,-5.6,二手住宅
2026-08,对照市乙,环比,-0.1,二手住宅
2026-08,对照市乙,同比,-5.2,二手住宅
