平台,小区,户型,面积,楼层,朝向,建成年份,挂牌单价,房源编号
平台甲,演示小区A,3室1厅,119.4,低,南,2008,50398,D001
平台乙,演示小区A,3室2厅,120.3,中,南北,2008,49556,D002
平台丙,演示小区A,2室1厅,89.3,低,东南,2012,56073,D003
平台甲,演示小区A,3室2厅,109.5,高,南北,2008,50603,D004
平台乙,演示小区A,2室1厅,103.0,高,东南,2008,51144,D005
平台丙,演示小区A,3室1厅,78.3,中,南北,2008,53735,D006
平台甲,演示小区A,2室1厅,96.2,高,南北,2008,51440,D007
平台乙,演示小区A,2室1厅,98.5,中,南,2008,48508,D008
平台丙,演示小区A,3室2厅,71.9,中,南,2008,57020,D009
平台甲,演示小区A,3室1厅,118.1,低,南,2012,52592,D010
平台乙,演示小区A,3室2厅,124.2,低,东南,2008,49617,D011
平台丙,演示小区A,2室1厅,134.0,低,南,2008,52851,D012
平台甲,演示小区A,3室2厅,113.6,中,南北,2012,47764,D013
平台乙,演示小区A,3室2厅,103.4,低,东南,2008,47197,D014
平台丙,演示小区A,3室2厅,136.5,低,南北,2008,52691,D015
平台甲,演示小区A,3室2厅,80.0,高,南北,2005,49239,D016
平台乙,演示小区A,3室1厅,130.7,中,南北,2012,50866,D017
平台丙,演示小区A,2室1厅,78.1,高,东南,2005,53018,D018
平台甲,演示小区A,3室1厅,124.5,高,南,2008,52821,D019
平台乙,演示小区A,3室1厅,113.8,中,南北,2005,51362,D020
平台丙,演示小区A,2室1厅,80.4,中,南北,2005,52907,D021
平台甲,演示小区A,2室1厅,87.2,高,南北,2005,48685,D022
平台乙,演示小区A,2室1厅,96.9,低,南,2005,52944,D023
平台丙,演示小区A,3室2厅,98.2,低,南北,2005,50943,D024
平台甲,演示小区A,2室1厅,99.8,低,东南,2012,48769,D025
平台乙,演示小区A,3室2厅,115.8,低,南北,2005,51259,D026
平台丙,演示小区A,3室1厅,97.9,低,南,2008,51404,D027
平台甲,演示小区A,3室2厅,135.3,低,南北,2008,52509,D028
平台乙,演示小区A,2室1厅,135.0,中,南北,2008,45375,D029
平台丙,演示小区A,2室1厅,125.5,低,南北,2008,50920,D030
平台甲,演示小区A,2室1厅,100.2,高,南,2008,53760,D031
平台乙,演示小区A,2室1厅,121.9,高,南北,2012,52104,D032
平台丙,演示小区A,3室1厅,83.0,高,东南,2012,47278,D033
平台甲,演示小区A,2室1厅,76.3,低,南北,2012,50092,D034
平台乙,演示小区A,2室1厅,72.0,高,东南,2012,47964,D035
平台丙,演示小区A,2室1厅,94.9,高,南北,2008,50412,D036
