期,城市,区县,小区,面积,总价,成交单价
2026-08,演示市,演示区,演示小区A,114.6,629.3,54909
2026-08,演示市,演示区,演示小区A,64.8,311.9,48129
2026-08,演示市,演示区,演示小区A,133.0,640.3,48141
2026-08,演示市,演示区,演示小区A,121.2,569.6,46994
2026-08,演示市,演示区,演示小区A,76.9,381.1,49562
2026-08,演示市,演示区,演示小区A,126.8,680.7,53683
2026-08,演示市,演示区,演示小区A,102.8,535.4,52078
2026-08,演示市,演示区,演示小区A,127.5,665.0,52155
2026-08,演示市,演示区,演示小区A,97.9,466.5,47647
2026-08,演示市,演示区,演示小区A,98.1,441.4,44991
2026-08,演示市,演示区,演示小区A,61.8,323.1,52275
2026-08,演示市,演示区,演示小区A,140.3,706.5,50357
2026-08,演示市,演示区,演示小区A,136.3,636.9,46731
2026-08,演示市,演示区,演示小区A,118.2,604.4,51131
2026-08,演示市,演示区,演示小区A,59.8,303.4,50733
2026-08,演示市,演示区,演示小区A,135.7,724.0,53351
2026-08,演示市,演示区,演示小区A,63.5,318.9,50227
2026-08,演示市,演示区,演示小区A,70.0,359.0,51281
2026-08,演示市,演示区,演示小区A,131.5,669.2,50893
2026-08,演示市,演示区,演示小区A,89.0,444.8,49974
2026-08,演示市,演示区,演示小区A,104.0,503.0,48369
2026-08,演示市,演示区,演示小区A,89.6,453.0,50557
2026-08,演示市,演示区,演示小区A,111.7,540.5,48387
2026-08,演示市,演示区,演示小区A,142.2,714.8,50265
2026-08,演示市,演示区,演示小区A,111.2,497.5,44741
2026-08,演示市,演示区,演示小区A,78.8,397.8,50485
2026-08,演示市,演示区,演示小区A,84.5,455.4,53891
2026-08,演示市,演示区,演示小区A,71.0,344.5,48521
2026-08,演示市,演示区,演示小区A,144.0,747.2,51886
2026-08,演示市,演示区,演示小区A,101.4,528.7,52139
2026-08,演示市,演示区,演示小区A,131.5,673.6,51222
2026-08,演示市,演示区,演示小区A,90.4,428.0,47344
2026-08,演示市,演示区,演示小区A,121.7,600.2,49315
2026-08,演示市,演示区,演示小区A,59.3,259.7,43792
2026-08,演示市,演示区,演示小区A,86.7,434.2,50083
2026-08,演示市,演示区,演示小区A,125.0,648.9,51914
2026-08,演示市,演示区,演示小区A,117.1,597.3,51006
2026-08,演示市,演示区,演示小区A,101.4,514.1,50698
2026-08,演示市,演示区,演示小区A,115.1,585.5,50866
2026-08,演示市,演示区,演示小区A,112.3,513.4,45718
2026-08,演示市,演示区,演示小区A,135.2,716.5,52999
2026-08,演示市,演示区,演示小区A,96.5,502.6,52087
2026-08,演示市,演示区,演示小区A,126.7,666.8,52625
2026-08,演示市,演示区,演示小区A,76.7,372.6,48583
2026-08,演示市,演示区,演示小区A,111.1,561.3,50525
2026-08,演示市,演示区,演示小区A,97.2,484.6,49856
2026-08,演示市,演示区,演示小区A,92.5,428.3,46307
2026-08,演示市,演示区,演示小区A,91.8,499.2,54378
2026-08,演示市,演示区,演示小区A,116.2,623.6,53667
2026-08,演示市,演示区,演示小区A,84.2,440.2,52281
2026-08,演示市,演示区,演示小区A,110.8,549.3,49580
2026-08,演示市,演示区,演示小区A,120.1,593.0,49377
2026-08,演示市,演示区,演示小区A,108.7,576.8,53061
2026-08,演示市,演示区,演示小区A,140.1,731.2,52189
2026-08,演示市,演示区,演示小区A,84.1,433.1,51503
2026-08,演示市,演示区,演示小区A,88.5,462.6,52266
2026-08,演示市,演示区,演示小区A,80.5,423.0,52545
2026-08,演示市,演示区,演示小区A,78.3,415.9,53114
2026-08,演示市,演示区,演示小区A,73.7,346.8,47058
2026-08,演示市,演示区,演示小区A,141.1,748.2,53026
