物业编号,首次交易期,再次交易期,首次成交价,再次成交价
P001,2024,2026,55200,49000
P002,2024,2026,51600,38800
P003,2024,2025,45200,44700
P004,2025,2026,49900,45800
P005,2025,2026,53500,53500
P006,2025,2026,45500,42900
P007,2025,2026,54000,53700
P008,2025,2026,48800,40500
P009,2024,2025,52800,46700
P010,2025,2026,43200,43000
P011,2024,2025,51600,46900
P012,2024,2025,47600,46400
P013,2025,2026,45600,41400
P014,2025,2026,48400,45700
P015,2024,2025,44500,37300
P016,2025,2026,47300,48500
P017,2024,2025,44500,45100
P018,2024,2026,48900,39600
P019,2025,2026,53600,47500
P020,2025,2026,54300,45000
P021,2024,2026,50000,56700
P022,2025,2026,44700,41400
P023,2024,2025,54900,57900
P024,2024,2026,53200,44000
P025,2024,2026,43100,43000
P026,2025,2026,49200,43300
P027,2024,2026,53100,48700
P028,2024,2025,52100,45700
P029,2024,2025,47700,46200
P030,2024,2026,51800,44500
P031,2024,2026,49200,50300
P032,2025,2026,43200,44700
P033,2024,2026,44300,31600
P034,2025,2026,54800,45900
P035,2025,2026,43300,39000
P036,2025,2026,51700,46000
P037,2025,2026,55800,48600
P038,2024,2026,45100,39900
P039,2025,2026,49100,47400
P040,2024,2025,44200,36200
P041,2025,2026,50000,49000
P042,2024,2026,46000,36800
P043,2025,2026,43400,42700
P044,2025,2026,49300,47800
P045,2024,2025,49700,51200
P046,2024,2026,52400,46400
P047,2024,2025,47000,47500
P048,2024,2025,45000,38500
P049,2025,2026,49600,45500
P050,2025,2026,51800,52600
P051,2025,2026,46200,40300
P052,2025,2026,45200,42400
P053,2025,2026,51100,45900
P054,2024,2025,45900,42400
P055,2024,2026,51700,47800
P056,2024,2026,51600,50100
P057,2025,2026,46100,44200
P058,2024,2026,48800,53000
P059,2024,2025,53800,46900
P060,2025,2026,49500,45900
