城市,物业类型,小区,面积,月租,单价
演示市,住宅,演示小区A,113.0,8090.0,47055.0
演示市,住宅,演示小区B,68.7,4230.0,43474.0
演示市,住宅,演示小区C,129.3,8650.0,46269.0
演示市,住宅,演示小区A,118.8,8200.0,47634.0
演示市,住宅,演示小区B,79.4,5910.0,51103.0
演示市,住宅,演示小区C,123.8,9390.0,52102.0
演示市,住宅,演示小区A,102.4,7040.0,48701.0
演示市,住宅,演示小区B,124.4,8400.0,50881.0
演示市,住宅,演示小区C,98.1,6940.0,46282.0
演示市,住宅,演示小区A,98.3,5980.0,47413.0
演示市,住宅,演示小区B,66.0,4570.0,50641.0
演示市,住宅,演示小区C,135.8,9190.0,50201.0
演示市,住宅,演示小区A,132.3,10160.0,53265.0
演示市,住宅,演示小区B,116.2,8410.0,49974.0
演示市,住宅,演示小区C,64.3,4460.0,48145.0
演示市,住宅,演示小区A,131.7,8270.0,49034.0
演示市,住宅,演示小区B,67.5,4310.0,48853.0
演示市,住宅,演示小区C,73.3,5560.0,51790.0
演示市,住宅,演示小区A,128.0,9180.0,55563.0
演示市,住宅,演示小区B,90.2,5230.0,41879.0
演示市,住宅,演示小区C,103.5,6880.0,49950.0
演示市,住宅,演示小区A,90.8,6200.0,46732.0
演示市,住宅,演示小区B,110.4,6840.0,46703.0
演示市,住宅,演示小区C,137.5,10310.0,50835.0
对照市甲,住宅,演示小区A,110.0,7960.0,33663.0
对照市甲,住宅,演示小区B,81.2,5830.0,33460.0
对照市甲,住宅,演示小区C,86.3,6540.0,36282.0
对照市甲,住宅,演示小区A,74.2,4160.0,30364.0
对照市甲,住宅,演示小区B,139.1,8560.0,31079.0
对照市甲,住宅,演示小区C,101.2,6140.0,31530.0
对照市甲,住宅,演示小区A,128.0,7420.0,29173.0
对照市甲,住宅,演示小区B,91.5,6520.0,34144.0
对照市甲,住宅,演示小区C,119.2,8870.0,34176.0
对照市甲,住宅,演示小区A,63.8,3970.0,29767.0
对照市甲,住宅,演示小区B,88.2,5130.0,30665.0
对照市甲,住宅,演示小区C,122.2,7180.0,32522.0
对照市甲,住宅,演示小区A,115.2,6810.0,32108.0
对照市甲,住宅,演示小区B,101.2,6530.0,32858.0
对照市甲,住宅,演示小区C,113.5,8420.0,35281.0
对照市甲,住宅,演示小区A,111.0,7660.0,32674.0
对照市甲,住宅,演示小区B,131.3,8850.0,32865.0
对照市甲,住宅,演示小区C,96.9,6090.0,32050.0
对照市甲,住宅,演示小区A,123.8,8780.0,35601.0
对照市甲,住宅,演示小区B,79.3,4630.0,29598.0
对照市甲,住宅,演示小区C,109.8,6020.0,30303.0
对照市甲,住宅,演示小区A,97.5,5730.0,27486.0
对照市甲,住宅,演示小区B,93.4,6710.0,33194.0
对照市甲,住宅,演示小区C,92.7,5720.0,33372.0
演示市,写字楼,演示小区A,114.4,11750.0,29359.0
演示市,写字楼,演示小区B,86.0,8510.0,30436.0
演示市,写字楼,演示小区C,109.6,9130.0,27515.0
演示市,写字楼,演示小区A,117.9,10750.0,29143.0
演示市,写字楼,演示小区B,107.7,11320.0,30616.0
演示市,写字楼,演示小区C,135.7,13700.0,30543.0
演示市,写字楼,演示小区A,85.8,8150.0,28949.0
演示市,写字楼,演示小区B,89.8,9090.0,29998.0
演示市,写字楼,演示小区C,82.6,8360.0,29205.0
演示市,写字楼,演示小区A,80.7,7880.0,29407.0
演示市,写字楼,演示小区B,76.6,8470.0,31696.0
演示市,写字楼,演示小区C,136.6,12390.0,29618.0
演示市,写字楼,演示小区A,119.4,11890.0,30148.0
演示市,写字楼,演示小区B,77.3,8150.0,30083.0
演示市,写字楼,演示小区C,139.4,14510.0,29045.0
演示市,写字楼,演示小区A,137.6,13430.0,31795.0
演示市,写字楼,演示小区B,67.4,6250.0,27222.0
演示市,写字楼,演示小区C,126.9,11980.0,28123.0
演示市,写字楼,演示小区A,63.6,6540.0,30018.0
演示市,写字楼,演示小区B,98.8,9170.0,30438.0
演示市,写字楼,演示小区C,130.6,13200.0,28104.0
演示市,写字楼,演示小区A,75.3,6980.0,30556.0
演示市,写字楼,演示小区B,83.4,8060.0,32059.0
演示市,写字楼,演示小区C,74.5,6900.0,29884.0
演示市,商业,演示小区A,67.5,9270.0,57128.0
演示市,商业,演示小区B,99.2,11150.0,48646.0
演示市,商业,演示小区C,86.7,13920.0,60309.0
演示市,商业,演示小区A,61.0,9120.0,57681.0
演示市,商业,演示小区B,127.8,13860.0,46463.0
演示市,商业,演示小区C,88.4,13750.0,58619.0
演示市,商业,演示小区A,122.3,15290.0,51160.0
演示市,商业,演示小区B,103.4,13550.0,50828.0
演示市,商业,演示小区C,110.4,13480.0,53165.0
演示市,商业,演示小区A,119.8,15320.0,56337.0
演示市,商业,演示小区B,94.3,10930.0,50865.0
演示市,商业,演示小区C,91.3,11380.0,53438.0
演示市,商业,演示小区A,123.2,16870.0,56971.0
演示市,商业,演示小区B,78.1,8720.0,48623.0
演示市,商业,演示小区C,112.5,15940.0,55531.0
演示市,商业,演示小区A,133.1,18620.0,53568.0
演示市,商业,演示小区B,133.9,19180.0,53771.0
演示市,商业,演示小区C,123.7,15490.0,52660.0
演示市,商业,演示小区A,117.6,15980.0,55949.0
演示市,商业,演示小区B,87.2,11410.0,57248.0
演示市,商业,演示小区C,81.0,10240.0,47908.0
演示市,商业,演示小区A,68.2,8950.0,56744.0
演示市,商业,演示小区B,69.0,9520.0,55236.0
演示市,商业,演示小区C,99.8,13810.0,56999.0
