物业编号,期,面积㎡,月租(元)
2024-001,2024,114.6,8255.6
2024-002,2024,136.4,8655.2
2024-003,2024,56.4,5420.9
2024-004,2024,106.9,8414.7
2024-005,2024,114.5,8070.7
2024-006,2024,109.3,7999.0
2024-007,2024,70.5,6966.6
2024-008,2024,112.0,9148.0
2024-009,2024,128.8,9104.6
2024-010,2024,87.5,7044.3
2024-011,2024,58.4,5566.6
2024-012,2024,64.1,6614.8
2024-013,2024,95.0,7211.2
2024-014,2024,139.1,9645.3
2024-015,2024,95.3,8095.9
2024-016,2024,50.1,6037.9
2024-017,2024,47.6,5480.7
2024-018,2024,72.2,7985.4
2024-019,2024,139.8,11105.1
2024-020,2024,106.7,8428.2
2024-021,2024,118.7,8908.7
2024-022,2024,105.5,8250.3
2024-023,2024,67.7,5859.7
2024-024,2024,46.9,5478.1
2024-025,2024,54.9,6018.9
2024-026,2024,57.4,6541.4
2024-027,2024,62.5,6036.3
2024-028,2024,133.8,8825.5
2024-029,2024,149.5,11624.4
2024-030,2024,85.5,7607.0
2024-031,2024,102.1,8198.2
2024-032,2024,65.7,6112.1
2024-033,2024,85.4,7016.6
2024-034,2024,93.4,7180.7
2024-035,2024,94.8,8501.2
2024-036,2024,118.9,10723.3
2024-037,2024,110.6,9176.1
2024-038,2024,136.7,10648.4
2024-039,2024,72.8,7163.7
2024-040,2024,143.9,10050.3
2024-041,2024,143.9,10467.4
2024-042,2024,57.2,6003.4
2024-043,2024,148.8,10501.1
2024-044,2024,92.5,7613.8
2024-045,2024,99.1,7668.8
2024-046,2024,86.7,8492.7
2024-047,2024,131.0,9109.9
2024-048,2024,120.0,9261.3
2024-049,2024,122.8,10055.8
2024-050,2024,144.1,9734.4
2024-051,2024,50.1,5948.3
2024-052,2024,91.3,7208.9
2024-053,2024,70.5,6853.4
2024-054,2024,46.6,6639.5
2024-055,2024,117.5,9035.0
2024-056,2024,56.0,6421.3
2024-057,2024,99.1,7390.2
2024-058,2024,48.4,6297.4
2024-059,2024,127.1,9570.1
2024-060,2024,126.9,8617.8
2024-061,2024,138.6,10542.5
2024-062,2024,110.9,8665.0
2024-063,2024,93.5,7038.4
2024-064,2024,140.2,11089.0
2024-065,2024,141.7,9884.3
2024-066,2024,90.8,7712.7
2024-067,2024,110.4,8107.0
2024-068,2024,47.3,5009.5
2024-069,2024,94.2,8154.7
2024-070,2024,59.3,5977.7
2024-071,2024,83.0,7775.5
2024-072,2024,57.9,6061.9
2024-073,2024,116.4,8719.4
2024-074,2024,123.6,9493.5
2024-075,2024,79.1,6664.9
2024-076,2024,103.1,8830.0
2024-077,2024,113.8,9814.4
2024-078,2024,65.4,6773.4
2024-079,2024,107.6,8687.1
2024-080,2024,113.2,8956.0
2024-081,2024,144.3,9960.5
2024-082,2024,97.5,8113.9
2024-083,2024,61.5,6059.2
2024-084,2024,104.1,8575.1
2024-085,2024,74.7,6750.2
2024-086,2024,118.2,8834.5
2024-087,2024,72.2,6541.2
2024-088,2024,146.3,10755.0
2024-089,2024,84.1,7224.0
2024-090,2024,54.8,5190.0
2024-091,2024,122.9,9350.9
2024-092,2024,92.8,7785.0
2024-093,2024,67.8,6715.3
2024-094,2024,79.4,5745.1
2024-095,2024,94.5,8958.7
2024-096,2024,56.1,5468.4
2024-097,2024,54.8,5544.3
2024-098,2024,108.8,7939.9
2024-099,2024,132.8,9665.7
2024-100,2024,70.6,6757.9
2024-101,2024,48.1,5632.8
2024-102,2024,52.9,5744.8
2024-103,2024,137.7,9438.4
2024-104,2024,139.1,10466.6
2024-105,2024,65.1,6947.3
2024-106,2024,149.1,11065.4
2024-107,2024,95.5,8241.5
2024-108,2024,60.6,6438.3
2024-109,2024,54.8,6464.3
2024-110,2024,77.4,6184.8
2024-111,2024,96.5,8302.8
2024-112,2024,52.8,6377.0
2024-113,2024,129.3,9709.7
2024-114,2024,116.7,8866.8
2024-115,2024,133.9,8287.6
2024-116,2024,62.8,6999.9
2024-117,2024,82.2,7594.0
2024-118,2024,111.3,7737.0
2024-119,2024,126.0,8858.7
2024-120,2024,113.7,9310.8
2024-121,2024,111.1,8330.9
2024-122,2024,54.7,6350.6
2024-123,2024,123.5,10026.8
2024-124,2024,103.5,8424.4
2024-125,2024,107.2,9032.6
2024-126,2024,62.3,6618.1
2024-127,2024,128.0,9993.2
2024-128,2024,77.2,6172.8
2024-129,2024,68.8,7321.4
2024-130,2024,129.7,10239.6
2024-131,2024,55.7,5488.7
2024-132,2024,120.9,8362.8
2024-133,2024,142.0,10158.0
2024-134,2024,132.1,9346.1
2024-135,2024,128.6,9581.3
2024-136,2024,64.6,7325.4
2024-137,2024,70.1,6509.7
2024-138,2024,52.5,6406.7
2024-139,2024,72.6,5913.0
2024-140,2024,126.4,9851.1
2024-141,2024,55.8,6370.2
2024-142,2024,69.3,6902.5
2024-143,2024,62.8,5972.7
2024-144,2024,82.3,7302.3
2024-145,2024,84.5,7722.6
2024-146,2024,131.0,10900.3
2024-147,2024,118.2,8736.2
2024-148,2024,90.5,6689.7
2024-149,2024,94.8,7470.9
2024-150,2024,93.1,8315.5
2025-001,2025,138.3,9705.3
2025-002,2025,118.1,9782.6
2025-003,2025,80.1,7670.3
2025-004,2025,134.1,9411.9
2025-005,2025,65.0,5807.9
2025-006,2025,46.9,6250.1
2025-007,2025,81.1,6971.0
2025-008,2025,132.7,9941.5
2025-009,2025,129.8,8842.2
2025-010,2025,145.0,10313.6
2025-011,2025,118.6,9295.0
2025-012,2025,137.5,9176.1
2025-013,2025,83.8,6618.7
2025-014,2025,107.2,7863.3
2025-015,2025,66.4,6994.4
2025-016,2025,123.0,9425.5
2025-017,2025,145.5,10269.1
2025-018,2025,49.4,5496.9
2025-019,2025,108.9,8792.3
2025-020,2025,57.5,5809.8
2025-021,2025,79.9,7460.8
2025-022,2025,107.4,8000.1
2025-023,2025,63.3,6311.0
2025-024,2025,118.8,9198.9
2025-025,2025,88.7,6586.1
2025-026,2025,118.1,9215.4
2025-027,2025,50.7,6394.3
2025-028,2025,78.5,6062.5
2025-029,2025,132.8,9571.4
2025-030,2025,80.8,6757.4
2025-031,2025,73.5,7119.5
2025-032,2025,123.0,9055.6
2025-033,2025,81.0,6894.8
2025-034,2025,53.7,6153.6
2025-035,2025,123.2,9056.9
2025-036,2025,144.7,8928.2
2025-037,2025,119.7,9677.3
2025-038,2025,137.3,10931.1
2025-039,2025,55.7,6432.8
2025-040,2025,113.9,9530.5
2025-041,2025,72.7,6614.2
2025-042,2025,116.2,8313.3
2025-043,2025,67.6,6585.2
2025-044,2025,122.4,9954.7
2025-045,2025,142.6,10284.6
2025-046,2025,76.2,7002.1
2025-047,2025,72.2,6794.7
2025-048,2025,92.5,7620.3
2025-049,2025,113.9,8550.0
2025-050,2025,145.8,9742.3
2025-051,2025,77.2,7589.7
2025-052,2025,123.2,10273.1
2025-053,2025,103.3,8925.1
2025-054,2025,114.3,9189.3
2025-055,2025,71.2,6318.3
2025-056,2025,85.4,7418.2
2025-057,2025,142.7,10210.2
2025-058,2025,102.5,8216.2
2025-059,2025,143.8,10240.5
2025-060,2025,50.8,6573.8
2025-061,2025,112.6,8211.5
2025-062,2025,85.1,6823.9
2025-063,2025,104.4,7806.0
2025-064,2025,77.8,6891.6
2025-065,2025,93.1,7100.3
2025-066,2025,121.0,9001.2
2025-067,2025,117.2,9452.3
2025-068,2025,91.0,8089.9
2025-069,2025,138.4,10434.6
2025-070,2025,56.4,7274.7
2025-071,2025,96.6,8834.4
2025-072,2025,58.9,6085.1
2025-073,2025,143.6,11441.5
2025-074,2025,56.5,5977.5
2025-075,2025,130.7,9904.6
2025-076,2025,138.6,8877.6
2025-077,2025,90.8,7862.2
2025-078,2025,141.3,9249.6
2025-079,2025,84.0,6549.4
2025-080,2025,98.9,7611.3
2025-081,2025,113.9,8088.1
2025-082,2025,114.8,8598.4
2025-083,2025,124.5,9487.2
2025-084,2025,125.1,10790.2
2025-085,2025,62.6,5988.4
2025-086,2025,81.9,7568.5
2025-087,2025,119.5,9196.4
2025-088,2025,130.1,9539.1
