物业编号,x,y,面积,楼龄,单价
1,6.625,6.825,154.2,21.8,56258
2,8.663,5.899,126.2,15.1,48313
3,7.351,6.126,84.3,4.3,42935
4,7.98,6.369,113.1,10.1,51065
5,1.279,4.846,140.5,4.6,46256
6,6.801,8.962,107.9,0.8,45497
7,0.756,0.485,62.5,8.1,34549
8,9.031,9.987,104.7,14.7,35957
9,7.022,6.128,65.4,14.4,39408
10,8.962,0.177,69.4,8.5,36962
11,2.221,1.177,76.7,16.6,38611
12,9.954,0.573,97.7,9.6,32071
13,5.442,7.476,104.8,4.9,43328
14,6.295,4.605,107.4,4.5,54842
15,9.691,7.04,122.5,2.9,38378
16,2.649,8.603,92.8,23.5,37416
17,9.422,7.224,77.8,2.9,42221
18,1.35,4.521,111.5,7.7,44718
19,8.502,3.967,141.9,11.7,45046
20,7.406,8.73,133.3,23.6,46542
21,0.481,7.269,95.2,11.0,38739
22,7.781,0.154,129.0,5.8,47153
23,0.965,1.049,111.5,10.2,39839
24,7.817,7.562,123.7,19.5,43031
25,8.915,0.092,69.7,15.7,29496
26,7.969,9.064,152.1,12.1,49211
27,2.41,4.362,122.3,17.3,47476
28,4.684,8.46,101.7,3.4,44722
29,3.615,9.116,100.9,3.1,41481
30,0.886,7.483,92.5,9.4,36290
31,6.197,5.529,125.6,1.0,55379
32,5.963,1.151,69.9,16.2,33926
33,9.461,4.579,92.3,12.5,40795
34,3.724,5.627,88.3,15.0,47170
35,1.409,6.976,85.9,12.1,40995
36,3.728,7.321,155.7,2.3,71391
37,7.42,0.811,60.4,11.4,34872
38,9.93,3.278,107.2,21.9,42916
39,9.706,1.053,69.3,14.9,33849
40,8.363,5.37,64.4,6.1,34689
41,0.292,6.382,108.5,1.9,46283
42,4.527,8.957,79.1,1.2,38216
43,2.92,9.91,108.1,0.6,43534
44,0.935,8.014,147.3,7.7,50563
45,4.902,1.215,93.3,1.9,45323
46,0.126,6.825,144.7,10.9,40621
47,9.807,1.697,95.4,20.1,35934
48,7.715,3.883,114.3,16.4,40173
49,6.296,3.998,81.1,2.3,45629
50,4.288,5.575,119.2,1.4,54195
51,3.918,1.643,139.0,19.9,49373
52,2.267,0.92,125.7,20.2,39593
53,1.016,6.033,151.4,18.1,54049
54,2.745,8.291,139.6,6.4,47358
55,7.201,1.864,83.9,8.9,39109
56,2.625,4.616,151.4,19.4,53902
57,1.031,1.233,71.3,5.8,37121
58,4.969,3.552,97.6,4.7,52665
59,7.653,8.194,129.8,17.8,47060
60,4.738,3.513,111.1,11.5,45912
